year	datetime	stage	regular_season	playoffs	opponent	seed	opponent_seed	home_away	home	away	status	played	postponed	future	new_date	outcome	win	loss	tie	forfeit	runs_scored	runs_allowed	note
2004	2004-06-01 17:30:00	regular season	True	False	Outkasts			home	True	False	played	True	False	False		win	True	False	False	False	18	5	
2004	2004-06-08 17:30:00	regular season	True	False	Cretins			away	False	True	played	True	False	False		win	True	False	False	False	16	8	
2004	2004-06-17 17:30:00	regular season	True	False	Capitalist Pigs			away	False	True	played	True	False	False		loss	False	True	False	False	16	17	
2004	2004-06-23 17:30:00	regular season	True	False	Loose Cannons			home	True	False	postponed	False	True	False	2004-07-07								rain
2004	2004-07-01 17:30:00	regular season	True	False	Outkasts			away	False	True	played	True	False	False		win	True	False	False	False	16	11	
2004	2004-07-07 17:30:00	regular season	True	False	Loose Cannons			home	True	False	played	True	False	False		win	True	False	False	False	15	13	
2004	2004-07-12 17:30:00	regular season	True	False	Toxic Waste			home	True	False	postponed	False	True	False	2004-07-19								sidewalk construction
2004	2004-07-19 17:30:00	regular season	True	False	Toxic Waste			home	True	False	played	True	False	False		loss	False	True	False	False	3	22	
2004	2004-07-27 17:30:00	regular season	True	False	Diamondbacks			away	False	True	postponed	False	True	False	2004-08-04								rain
2004	2004-08-04 17:30:00	regular season	True	False	Diamondbacks			away	False	True	played	True	False	False		loss	False	True	False	False	6	18	
2004	2004-08-17 17:30:00	playoffs	False	True	Swingers	4	5	home	True	False	played	True	False	False		loss	False	True	False	False	5	9	
2004	2004-08-24 17:30:00	playoffs	False	True	Toxic Waste	4	3	away	False	True	played	True	False	False		loss	False	True	False	False	7	38	
2005	2005-05-11 17:30:00	regular season	True	False	Swingers			home	True	False	played	True	False	False		win	True	False	False	False	11	10	
2005	2005-05-19 17:30:00	regular season	True	False	Loose Cannons			away	False	True	played	True	False	False		win	True	False	False	False	17	15	
2005	2005-05-26 17:30:00	regular season	True	False	Cretins			home	True	False	played	True	False	False		loss	False	True	False	False	8	29	
2005	2005-06-07 17:30:00	regular season	True	False	Inferno			away	False	True	postponed	False	True	False	2005-07-06								lightning
2005	2005-06-15 17:30:00	regular season	True	False	Diamondbacks			home	True	False	played	True	False	False		loss	False	True	False	False	1	7	
2005	2005-06-21 17:30:00	regular season	True	False	Capitalist Pigs			away	False	True	played	True	False	False		loss	False	True	False	False	8	9	
2005	2005-06-28 17:30:00	regular season	True	False	Toxic Waste			home	True	False	postponed	False	True	False	2005-08-01								rain
2005	2005-07-06 17:30:00	regular season	True	False	Inferno			away	False	True	played	True	False	False		win	True	False	False	False	17	11	
2005	2005-07-13 17:30:00	regular season	True	False	Swingers			away	False	True	played	True	False	False		win	True	False	False	False	20	14	
2005	2005-07-20 17:30:00	regular season	True	False	Loose Cannons			home	True	False	played	True	False	False		loss	False	True	False	False	6	17	
2005	2005-07-28 17:30:00	regular season	True	False	Cretins			away	False	True	played	True	False	False		win	True	False	False	False	20	15	
2005	2005-08-01 17:30:00	regular season	True	False	Toxic Waste			home	True	False	played	True	False	False		loss	False	True	False	False	4	20	
2005	2005-08-11 17:30:00	playoffs	False	True	Cretins	5	4	away	False	True	played	True	False	False		loss	False	True	False	False	4	8	
2005	2005-08-17 17:30:00	playoffs	False	True	Inferno	5	8	home	True	False	played	True	False	False		loss	False	True	False	False	12	15	
2006	2006-05-17 17:30:00	regular season	True	False	Toxic Waste			away	False	True	played	True	False	False		win	True	False	False	False	12	6	
2006	2006-05-30 17:30:00	regular season	True	False	Loose Cannons			home	True	False	played	True	False	False		win	True	False	False	False	17	6	
2006	2006-06-06 17:30:00	regular season	True	False	Diamondbacks			home	True	False	played	True	False	False		loss	False	True	False	False	8	12	
2006	2006-06-14 17:30:00	regular season	True	False	Cretins			away	False	True	postponed	False	True	False	2006-06-19								rain
2006	2006-06-19 17:30:00	regular season	True	False	Cretins			away	False	True	played	True	False	False		loss	False	True	False	False	6	12	
2006	2006-06-20 17:30:00	regular season	True	False	Inferno			away	False	True	played	True	False	False		win	True	False	False	False	28	4	
2006	2006-06-28 17:30:00	regular season	True	False	Capitalist Pigs			home	True	False	played	True	False	False		loss	False	True	False	False	6	7	
2006	2006-07-13 17:30:00	regular season	True	False	Toxic Waste			home	True	False	played	True	False	False		win	True	False	False	False	19	10	
2006	2006-07-27 17:30:00	regular season	True	False	Loose Cannons			away	False	True	played	True	False	False		loss	False	True	False	False	11	14	
2006	2006-08-03 17:30:00	regular season	True	False	Diamondbacks			away	False	True	postponed	False	True	False	2006-08-16								heat
